canonical_id,classification,issue,original_id,document_locale,source_path,line_start,line_end,record_id
ADS-ARCH012,misleading_or_unsupported,I3,ADS-ARCH012-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,691,701,en--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH012,misleading_or_unsupported,I3,ADS-ARCH012-ko,ko,docs/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,694,704,ko--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH013,confirmed_incorrect,I2,ADS-ARCH013-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,727,729,en--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH013,confirmed_incorrect,I2,ADS-ARCH013-ko,ko,docs/agentic-ai-platform/design-architecture/foundations/agentic-platform-architecture.md,730,732,ko--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH014,misleading_or_unsupported,I3,ADS-ARCH014-en,en,src/components/ArchitectureTables/TenantIsolation.js,19,24,en--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-ARCH014,misleading_or_unsupported,I3,ADS-ARCH014-ko,ko,src/components/ArchitectureTables/TenantIsolation.js,19,24,ko--agentic-ai-platform__design-architecture__foundations__agentic-platform-architecture.md.json
ADS-CASCADE-001,confirmed_incorrect,I1,ADS-CASCADE-001-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,33,35,en--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-001,confirmed_incorrect,I1,ADS-CASCADE-001-ko,ko,docs/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,33,35,ko--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-002,misleading_or_unsupported,I4,ADS-CASCADE-002-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,75,86,en--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-002,misleading_or_unsupported,I4,ADS-CASCADE-002-ko,ko,docs/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,75,86,ko--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-003,confirmed_incorrect,I1,ADS-CASCADE-003-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,98,122,en--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-003,confirmed_incorrect,I1,ADS-CASCADE-003-ko,ko,docs/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,98,123,ko--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-004,confirmed_incorrect,I5,ADS-CASCADE-004-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,107,108,en--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-005,misleading_or_unsupported,I2,ADS-CASCADE-005-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,128,144,en--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-005,misleading_or_unsupported,I2,ADS-CASCADE-005-ko,ko,docs/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,129,145,ko--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-006,misleading_or_unsupported,I1,ADS-CASCADE-006-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,140,141,en--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-006,misleading_or_unsupported,I1,ADS-CASCADE-006-ko,ko,docs/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,141,142,ko--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-007,confirmed_incorrect,I4,ADS-CASCADE-007-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,149,149,en--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-008,misleading_or_unsupported,I4,ADS-CASCADE-008-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,151,158,en--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-008,misleading_or_unsupported,I4,ADS-CASCADE-008-ko,ko,docs/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,152,159,ko--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-009,confirmed_incorrect,I1,ADS-CASCADE-009-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,160,181,en--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-009,confirmed_incorrect,I1,ADS-CASCADE-009-ko,ko,docs/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,163,183,ko--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-010,confirmed_incorrect,I1,ADS-CASCADE-010-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,183,208,en--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-011,misleading_or_unsupported,I1,ADS-CASCADE-011-ko,ko,docs/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,188,202,ko--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-012,misleading_or_unsupported,I4,ADS-CASCADE-012-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,227,231,en--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-012,misleading_or_unsupported,I4,ADS-CASCADE-012-ko,ko,docs/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,224,228,ko--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-013,confirmed_incorrect,I4,ADS-CASCADE-013-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,235,243,en--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-013,confirmed_incorrect,I4,ADS-CASCADE-013-ko,ko,docs/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,232,240,ko--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-014,confirmed_incorrect,I4,ADS-CASCADE-014-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,245,250,en--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-014,confirmed_incorrect,I4,ADS-CASCADE-014-ko,ko,docs/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,242,247,ko--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-015,misleading_or_unsupported,I4,ADS-CASCADE-015-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,269,294,en--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CASCADE-015,misleading_or_unsupported,I4,ADS-CASCADE-015-ko,ko,docs/agentic-ai-platform/model-serving/inference-routing/request-cascading.md,266,291,ko--agentic-ai-platform__model-serving__inference-routing__request-cascading.md.json
ADS-CHAL001,misleading_or_unsupported,I4,ADS-CHAL001-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/foundations/agentic-ai-challenges.md,38,40,en--agentic-ai-platform__design-architecture__foundations__agentic-ai-challenges.md.json
ADS-CHAL001,misleading_or_unsupported,I4,ADS-CHAL001-ko,ko,docs/agentic-ai-platform/design-architecture/foundations/agentic-ai-challenges.md,38,40,ko--agentic-ai-platform__design-architecture__foundations__agentic-ai-challenges.md.json
ADS-CHAL002,misleading_or_unsupported,I2,ADS-CHAL002-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/foundations/agentic-ai-challenges.md,53,57,en--agentic-ai-platform__design-architecture__foundations__agentic-ai-challenges.md.json
ADS-CHAL002,misleading_or_unsupported,I2,ADS-CHAL002-ko,ko,docs/agentic-ai-platform/design-architecture/foundations/agentic-ai-challenges.md,53,57,ko--agentic-ai-platform__design-architecture__foundations__agentic-ai-challenges.md.json
ADS-CHAL003,misleading_or_unsupported,I4,ADS-CHAL003-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/foundations/agentic-ai-challenges.md,129,143,en--agentic-ai-platform__design-architecture__foundations__agentic-ai-challenges.md.json
ADS-CHAL003,misleading_or_unsupported,I4,ADS-CHAL003-ko,ko,docs/agentic-ai-platform/design-architecture/foundations/agentic-ai-challenges.md,129,143,ko--agentic-ai-platform__design-architecture__foundations__agentic-ai-challenges.md.json
ADS-CHAL004,misleading_or_unsupported,I5,ADS-CHAL004-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/foundations/agentic-ai-challenges.md,183,218,en--agentic-ai-platform__design-architecture__foundations__agentic-ai-challenges.md.json
ADS-CHAL004,misleading_or_unsupported,I5,ADS-CHAL004-ko,ko,docs/agentic-ai-platform/design-architecture/foundations/agentic-ai-challenges.md,183,218,ko--agentic-ai-platform__design-architecture__foundations__agentic-ai-challenges.md.json
ADS-CHAL005,misleading_or_unsupported,I2,ADS-CHAL005-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/foundations/agentic-ai-challenges.md,235,235,en--agentic-ai-platform__design-architecture__foundations__agentic-ai-challenges.md.json
ADS-CHAL005,misleading_or_unsupported,I2,ADS-CHAL005-ko,ko,docs/agentic-ai-platform/design-architecture/foundations/agentic-ai-challenges.md,235,235,ko--agentic-ai-platform__design-architecture__foundations__agentic-ai-challenges.md.json
ADS-CHAL006,misleading_or_unsupported,I2,ADS-CHAL006-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/foundations/agentic-ai-challenges.md,271,276,en--agentic-ai-platform__design-architecture__foundations__agentic-ai-challenges.md.json
ADS-CHAL006,misleading_or_unsupported,I2,ADS-CHAL006-ko,ko,docs/agentic-ai-platform/design-architecture/foundations/agentic-ai-challenges.md,271,276,ko--agentic-ai-platform__design-architecture__foundations__agentic-ai-challenges.md.json
ADS-CHAL007,misleading_or_unsupported,I2,ADS-CHAL007-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/foundations/agentic-ai-challenges.md,306,312,en--agentic-ai-platform__design-architecture__foundations__agentic-ai-challenges.md.json
ADS-CHAL007,misleading_or_unsupported,I2,ADS-CHAL007-ko,ko,docs/agentic-ai-platform/design-architecture/foundations/agentic-ai-challenges.md,306,312,ko--agentic-ai-platform__design-architecture__foundations__agentic-ai-challenges.md.json
ADS-CHAL008,misleading_or_unsupported,I5,ADS-CHAL008-en,en,src/components/AgenticChallengesTables/ChallengeSummary.js,21,24,en--agentic-ai-platform__design-architecture__foundations__agentic-ai-challenges.md.json
ADS-CHAL008,misleading_or_unsupported,I5,ADS-CHAL008-ko,ko,src/components/AgenticChallengesTables/ChallengeSummary.js,21,24,ko--agentic-ai-platform__design-architecture__foundations__agentic-ai-challenges.md.json
ADS-CHIT-001,confirmed_incorrect,I2,ADS-CHIT-001-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-optimization/cache-hit-strategy.md,32,38,en--agentic-ai-platform__model-serving__inference-optimization__cache-hit-strategy.md.json
ADS-CHIT-001,confirmed_incorrect,I2,ADS-CHIT-001-ko,ko,docs/agentic-ai-platform/model-serving/inference-optimization/cache-hit-strategy.md,32,38,ko--agentic-ai-platform__model-serving__inference-optimization__cache-hit-strategy.md.json
ADS-CHIT-002,misleading_or_unsupported,I2,ADS-CHIT-002-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-optimization/cache-hit-strategy.md,42,45,en--agentic-ai-platform__model-serving__inference-optimization__cache-hit-strategy.md.json
ADS-CHIT-002,misleading_or_unsupported,I2,ADS-CHIT-002-ko,ko,docs/agentic-ai-platform/model-serving/inference-optimization/cache-hit-strategy.md,42,45,ko--agentic-ai-platform__model-serving__inference-optimization__cache-hit-strategy.md.json
ADS-CHIT-003,misleading_or_unsupported,I2,ADS-CHIT-003-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-optimization/cache-hit-strategy.md,67,67,en--agentic-ai-platform__model-serving__inference-optimization__cache-hit-strategy.md.json
ADS-CHIT-003,misleading_or_unsupported,I2,ADS-CHIT-003-ko,ko,docs/agentic-ai-platform/model-serving/inference-optimization/cache-hit-strategy.md,67,67,ko--agentic-ai-platform__model-serving__inference-optimization__cache-hit-strategy.md.json
ADS-CHIT-003,misleading_or_unsupported,I2,ADS-KV-007-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-optimization/kv-cache-optimization.md,111,115,en--agentic-ai-platform__model-serving__inference-optimization__kv-cache-optimization.md.json
ADS-CHIT-003,misleading_or_unsupported,I2,ADS-KV-007-ko,ko,docs/agentic-ai-platform/model-serving/inference-optimization/kv-cache-optimization.md,111,115,ko--agentic-ai-platform__model-serving__inference-optimization__kv-cache-optimization.md.json
ADS-CHIT-003,misleading_or_unsupported,I2,ADS-LLMD-001-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-frameworks/llm-d-eks-automode.md,46,46,en--agentic-ai-platform__model-serving__inference-frameworks__llm-d-eks-automode.md.json
ADS-CHIT-003,misleading_or_unsupported,I2,ADS-LLMD-001-ko,ko,docs/agentic-ai-platform/model-serving/inference-frameworks/llm-d-eks-automode.md,46,46,ko--agentic-ai-platform__model-serving__inference-frameworks__llm-d-eks-automode.md.json
ADS-CHIT-004,misleading_or_unsupported,I3,ADS-CHIT-004-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-optimization/cache-hit-strategy.md,74,74,en--agentic-ai-platform__model-serving__inference-optimization__cache-hit-strategy.md.json
ADS-CHIT-004,misleading_or_unsupported,I3,ADS-CHIT-004-ko,ko,docs/agentic-ai-platform/model-serving/inference-optimization/cache-hit-strategy.md,74,74,ko--agentic-ai-platform__model-serving__inference-optimization__cache-hit-strategy.md.json
ADS-CHIT-005,misleading_or_unsupported,I3,ADS-CHIT-005-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-optimization/cache-hit-strategy.md,80,81,en--agentic-ai-platform__model-serving__inference-optimization__cache-hit-strategy.md.json
ADS-CHIT-005,misleading_or_unsupported,I3,ADS-CHIT-005-ko,ko,docs/agentic-ai-platform/model-serving/inference-optimization/cache-hit-strategy.md,80,81,ko--agentic-ai-platform__model-serving__inference-optimization__cache-hit-strategy.md.json
ADS-CHIT-006,misleading_or_unsupported,I4,ADS-CHIT-006-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-optimization/cache-hit-strategy.md,89,96,en--agentic-ai-platform__model-serving__inference-optimization__cache-hit-strategy.md.json
ADS-CHIT-006,misleading_or_unsupported,I4,ADS-CHIT-006-ko,ko,docs/agentic-ai-platform/model-serving/inference-optimization/cache-hit-strategy.md,89,96,ko--agentic-ai-platform__model-serving__inference-optimization__cache-hit-strategy.md.json
ADS-CTUNE-001,confirmed_incorrect,I1,ADS-CTUNE-001-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/model-serving/inference-routing/cascade-routing-tuning.md,229,238,en--agentic-ai-platform__model-serving__inference-routing__cascade-routing-tuning.md.json
ADS-CTUNE-001,confirmed_incorrect,I1,ADS-CTUNE-001-ko,ko,docs/agentic-ai-platform/model-serving/inference-routing/cascade-routing-tuning.md,229,238,ko--agentic-ai-platform__model-serving__inference-routing__cascade-routing-tuning.md.json
ADS-DECISION001,misleading_or_unsupported,I2,ADS-DECISION001-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/platform-selection/ai-platform-decision-framework.md,23,27,en--agentic-ai-platform__design-architecture__platform-selection__ai-platform-decision-framework.md.json
ADS-DECISION001,misleading_or_unsupported,I2,ADS-DECISION001-ko,ko,docs/agentic-ai-platform/design-architecture/platform-selection/ai-platform-decision-framework.md,23,27,ko--agentic-ai-platform__design-architecture__platform-selection__ai-platform-decision-framework.md.json
ADS-DECISION002,misleading_or_unsupported,I2,ADS-DECISION002-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/platform-selection/ai-platform-decision-framework.md,50,91,en--agentic-ai-platform__design-architecture__platform-selection__ai-platform-decision-framework.md.json
ADS-DECISION002,misleading_or_unsupported,I2,ADS-DECISION002-ko,ko,docs/agentic-ai-platform/design-architecture/platform-selection/ai-platform-decision-framework.md,50,91,ko--agentic-ai-platform__design-architecture__platform-selection__ai-platform-decision-framework.md.json
ADS-DECISION003,confirmed_incorrect,I5,ADS-DECISION003-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/platform-selection/ai-platform-decision-framework.md,99,99,en--agentic-ai-platform__design-architecture__platform-selection__ai-platform-decision-framework.md.json
ADS-DECISION004,misleading_or_unsupported,I2,ADS-DECISION004-en,en,i18n/en/docusaurus-plugin-content-docs/current/agentic-ai-platform/design-architecture/platform-selection/ai-platform-decision-framework.md,150,171,en--agentic-ai-platform__design-architecture__platform-selection__ai-platform-decision-framework.md.json
ADS-DECISION004,misleading_or_unsupported,I2,ADS-DECISION004-ko,ko,docs/agentic-ai-platform/design-architecture/platform-selection/ai-platform-decision-framework.md,150,171,ko--agentic-ai-platform__design-architecture__platform-selection__ai-platform-decision-framework.md.json
